customer_id,customer_name,region,country,signup_date
4900916,Sara Rossi,Europe,Italy,2023-08-19
5626517,Ana Rossi,Europe,Italy,2025-01-27
6766126,Sara Smith,Asia,Indonesia,2025-02-27
4371874,Emma Garcia,Europe,UK,2025-02-07
7286867,Liam Rossi,Europe,France,2025-12-01
7024847,Luka Novak,North America,USA,2025-10-05
8705233,Emma Novak,Europe,Poland,2024-12-28
8676586,Noah Johnson,North America,USA,2025-04-25
8953451,Sofia Rossi,North America,USA,2025-02-04
6237740,Mark Rossi,Europe,Germany,2023-10-28
4152477,Sara Popovic,Europe,UK,2024-04-20
3655736,Noah Petrovic,Asia,India,2024-05-25
7887688,Ana Smith,Asia,Vietnam,2024-02-13
3579994,Emma Popovic,Asia,Indonesia,2023-11-18
9134545,Sofia Johnson,North America,Canada,2024-03-13
1089117,Ivan Garcia,Europe,Spain,2023-12-23
6946386,Sara Smith,Europe,Serbia,2024-03-02
9778303,Emma Novak,Europe,UK,2023-03-22
7850588,Emma Smith,Africa,South Africa,2023-10-20
1629251,Luka Kowalski,Europe,Spain,2025-01-11
3895290,Luka Kowalski,Europe,Spain,2023-01-05
2412764,Liam Novak,Europe,Germany,2023-04-13
6016995,Mark Popovic,Europe,France,2025-03-27
7254443,Olivia Johnson,Asia,India,2025-04-07
5446211,Sofia Kowalski,Europe,Spain,2023-04-24
3314594,Liam Novak,Europe,France,2025-12-04
2690330,Noah Petrovic,Europe,UK,2023-08-06
1307902,Olivia Garcia,North America,Canada,2023-09-13
9949227,Mia Kowalski,Europe,Germany,2023-10-28
4642712,Liam Kowalski,Europe,Serbia,2023-02-25
6145748,Ivan Garcia,Europe,Germany,2025-04-28
1748986,Olivia Rossi,Asia,Indonesia,2023-02-04
7598076,Olivia Petrovic,Europe,Serbia,2024-02-06
7385104,Sara Smith,Europe,France,2023-09-04
9667041,Ana Popovic,North America,USA,2024-06-19
3651537,Luka Kowalski,North America,Canada,2025-07-02
9535601,Liam Rossi,Europe,UK,2025-10-30
2760290,Ana Petrovic,Asia,Indonesia,2024-05-20
2435068,Luka Popovic,Europe,Poland,2023-08-16
3380558,Liam Novak,North America,Canada,2025-07-07
7529890,Ivan Smith,Europe,Italy,2024-12-30
6597046,Sofia Garcia,Europe,Germany,2023-05-22
5386303,Mia Popovic,Europe,Spain,2024-08-07
6207979,Mia Johnson,Asia,Vietnam,2025-03-20
1697740,Sofia Smith,Europe,Serbia,2023-05-16
4183925,Luka Johnson,Europe,Germany,2025-09-11
3721443,Noah Popovic,South America,Argentina,2023-06-20
5914265,Ana Rossi,Europe,Serbia,2024-04-23
5954175,Luka Smith,Europe,UK,2025-04-06
5791217,Olivia Garcia,Europe,Germany,2025-06-30
6993212,Emma Kowalski,Europe,France,2025-12-18
3248226,Emma Petrovic,Europe,Spain,2025-04-20
7519825,Olivia Kowalski,Africa,Egypt,2025-03-16
4165812,Luka Johnson,Europe,Serbia,2024-09-21
1158525,Olivia Kowalski,Europe,France,2023-03-15
9053266,Sofia Garcia,Europe,Poland,2025-02-14
8090939,Ivan Rossi,Asia,Vietnam,2024-04-09
6966953,Sara Novak,Asia,Vietnam,2023-03-09
3866978,Mia Kowalski,Europe,Spain,2023-08-27
9660237,Olivia Petrovic,Asia,India,2025-11-23
1495142,Mark Kowalski,Europe,Serbia,2023-04-14
4013575,Ivan Garcia,Asia,Vietnam,2023-12-12
6279323,Ana Novak,North America,Canada,2023-03-10
3428428,Sara Petrovic,South America,Argentina,2025-02-04
3750423,Ivan Novak,Europe,Spain,2023-01-31
1476776,Sofia Petrovic,Europe,France,2024-12-01
2957858,Mark Petrovic,Europe,Spain,2023-12-16
9640135,Luka Garcia,Europe,France,2025-05-15
1033431,Olivia Garcia,South America,Brazil,2024-11-19
7284030,Mark Kowalski,North America,Canada,2025-01-31
2067037,Noah Garcia,Europe,Germany,2024-08-29
7173957,Luka Popovic,Asia,Vietnam,2023-10-01
6077604,Olivia Smith,Europe,Spain,2023-08-18
4627088,Ana Popovic,Europe,Germany,2025-07-09
9927694,Luka Kowalski,Europe,Italy,2023-09-02
3587483,Ivan Rossi,North America,USA,2024-05-27
5163351,Ivan Popovic,North America,USA,2023-01-25
3122728,Liam Kowalski,Europe,Serbia,2024-06-16
2782899,Liam Johnson,Asia,Vietnam,2024-01-20
6474258,Mark Rossi,Europe,Germany,2025-10-03
9129648,Emma Kowalski,North America,Canada,2025-04-30
2801764,Luka Smith,Europe,Italy,2024-12-08
2226936,Emma Popovic,Europe,Spain,2023-10-06
7395450,Sofia Garcia,Asia,Vietnam,2023-08-09
5405213,Sofia Smith,South America,Argentina,2024-06-30
6058251,Ana Popovic,Europe,Spain,2025-05-13
2972144,Sara Garcia,Africa,South Africa,2024-10-07
6835100,Olivia Garcia,Asia,Indonesia,2023-03-16
8958792,Ana Rossi,Europe,Serbia,2025-01-23
9367626,Sara Popovic,Europe,Germany,2025-01-09
3029013,Luka Petrovic,Europe,France,2024-06-20
9706475,Sofia Petrovic,Europe,Poland,2024-12-01
5144422,Ana Novak,Europe,Poland,2023-12-20
7017607,Emma Johnson,Europe,Poland,2025-06-19
8649300,Mia Garcia,Asia,Indonesia,2023-11-16
6790134,Sofia Petrovic,Europe,France,2025-07-24
2384950,Mark Novak,Asia,India,2025-07-03
2158212,Liam Smith,Europe,Italy,2023-12-24
2474161,Luka Popovic,Europe,Spain,2024-12-24
9301581,Sara Novak,Europe,Serbia,2025-05-07
6234931,Olivia Novak,Asia,Japan,2025-11-01
5451062,Ana Garcia,Europe,Italy,2025-01-15
4792454,Olivia Petrovic,Europe,UK,2023-07-22
3824302,Sara Rossi,Asia,Indonesia,2025-01-28
6452629,Olivia Popovic,Asia,Vietnam,2024-07-29
8257766,Liam Smith,Asia,Vietnam,2024-05-11
9493836,Emma Petrovic,South America,Argentina,2023-08-27
6565214,Ana Novak,Europe,UK,2025-09-06
6413900,Noah Kowalski,Europe,Germany,2025-02-03
9274426,Sara Petrovic,Europe,Serbia,2025-01-12
7762381,Ivan Novak,Europe,Italy,2023-04-17
6262717,Olivia Popovic,North America,USA,2025-07-12
3965259,Emma Johnson,Asia,India,2023-05-22
4296482,Ana Garcia,Europe,UK,2025-11-06
8767968,Mia Popovic,South America,Brazil,2025-09-20
4693852,Emma Johnson,Asia,Vietnam,2023-08-23
6847641,Mia Garcia,South America,Argentina,2025-05-09
6873777,Olivia Petrovic,Europe,Germany,2024-02-19
7873623,Luka Petrovic,Asia,Japan,2025-09-05
7402649,Sara Novak,Europe,Germany,2025-08-26
4571458,Noah Garcia,Europe,Germany,2024-04-08
3590042,Mark Popovic,North America,USA,2023-11-20
8410022,Noah Smith,Europe,France,2023-03-02
3140504,Emma Kowalski,Asia,Japan,2023-11-16
8235939,Olivia Kowalski,Europe,Poland,2025-06-19
5490069,Luka Johnson,Europe,Poland,2024-03-14
6519259,Noah Garcia,Asia,Indonesia,2024-01-30
2977129,Olivia Johnson,Europe,Spain,2023-06-23
6369288,Noah Novak,Europe,Germany,2024-09-01
5470387,Olivia Popovic,North America,Canada,2023-02-23
8456619,Ivan Rossi,Europe,UK,2023-02-16
5422858,Luka Rossi,Europe,Poland,2025-05-19
3438774,Mia Popovic,Europe,Serbia,2023-03-04
5499261,Noah Johnson,South America,Brazil,2025-11-13
4930782,Mark Johnson,Europe,Spain,2023-07-17
6566204,Mark Rossi,Europe,Spain,2025-09-04
3406940,Mia Smith,Europe,UK,2023-07-11
3067560,Mia Smith,North America,Canada,2024-04-13
5494784,Noah Kowalski,Europe,Poland,2024-11-30
5923599,Liam Rossi,Europe,UK,2023-09-06
